"","minuteCount","pickupCount","Date","DOW"
"152",143,36,2018-01-17,"Wednesday"
"153",68,24,2018-01-16,"Tuesday"
"154",55,41,2018-01-15,"Monday"
"155",141,51,2018-01-14,"Sunday"
"156",80,45,2018-01-13,"Saturday"
"157",177,43,2018-01-12,"Friday"
"158",116,47,2018-01-11,"Thursday"
"159",92,24,2018-01-10,"Wednesday"
"160",121,33,2018-01-09,"Tuesday"
"161",70,43,2018-01-08,"Monday"
"162",79,20,2018-01-07,"Sunday"
"163",71,26,2018-01-06,"Saturday"
"164",144,57,2018-01-05,"Friday"
"165",103,75,2018-01-04,"Thursday"
"166",72,41,2018-01-03,"Wednesday"
"167",12,3,2018-01-02,"Tuesday"
"168",106,94,2018-01-01,"Monday"
"169",101,49,2017-12-31,"Sunday"
"170",81,74,2017-12-30,"Saturday"
"171",111,88,2017-12-29,"Friday"
"172",88,49,2017-12-28,"Thursday"
"173",124,45,2017-12-27,"Wednesday"
"174",84,45,2017-12-26,"Tuesday"
"175",60,36,2017-12-25,"Monday"
"176",103,40,2017-12-24,"Sunday"
"177",34,21,2017-12-23,"Saturday"
"178",123,42,2017-12-22,"Friday"
"179",126,42,2017-12-21,"Thursday"
"180",180,51,2017-12-20,"Wednesday"
"181",155,49,2017-12-19,"Tuesday"
"182",40,12,2017-12-18,"Monday"
"183",178,34,2017-12-17,"Sunday"
"184",525,46,2017-12-16,"Saturday"
"185",122,41,2017-12-15,"Friday"
"186",139,45,2017-12-14,"Thursday"
"187",72,43,2017-12-13,"Wednesday"
"188",100,39,2017-12-12,"Tuesday"
"189",52,31,2017-12-11,"Monday"
"190",130,45,2017-12-10,"Sunday"
"191",110,42,2017-12-09,"Saturday"
"192",152,36,2017-12-08,"Friday"
"193",126,42,2017-12-07,"Thursday"
"194",120,45,2017-12-06,"Wednesday"
"195",79,28,2017-12-05,"Tuesday"
"196",92,36,2017-12-04,"Monday"
"197",87,50,2017-12-03,"Sunday"
"198",120,53,2017-12-02,"Saturday"
"199",101,55,2017-12-01,"Friday"
"200",201,44,2017-11-30,"Thursday"
"201",75,50,2017-11-29,"Wednesday"
"202",145,37,2017-11-28,"Tuesday"
"203",129,46,2017-11-27,"Monday"
"204",120,49,2017-11-26,"Sunday"
"205",92,57,2017-11-25,"Saturday"
"206",111,51,2017-11-24,"Friday"
"207",164,30,2017-11-23,"Thursday"
"208",98,46,2017-11-22,"Wednesday"
"209",101,64,2017-11-21,"Tuesday"
"210",112,49,2017-11-20,"Monday"
"211",177,33,2017-11-19,"Sunday"
"212",51,36,2017-11-18,"Saturday"
